,state,kind,sex,neutralization,color,birth,weight,number,period,location,feature,center,department
403,공고중,[개] 진도견,암컷,0.0,백,2018,30.0,대구-서구-2021-00153,2021-005-17~2021-05-27,국채보상로 441,온,대구시수의사회,대구광역시 서구청
404,공고중,[개] 진도견,암컷,,흰,2019,16.0,광주-서구-2021-00214,2021-05-17~2021-05-27,서구 화정119,21-0562 요조,광주 동물보호소,광주광역시 서구청
405,공고중,[개] 진도견,암컷,0.0,흰색,2021,4.8,강원-강릉-2021-00233,2021-05-17~2021-05-27,왕산면 안소재길 농막,"자견이며,마을방치견",강릉시동물사랑센터,강원도 강릉시청
406,완료(귀가),[개] 진도견,수컷,,흰색,2018,23.0,대구-남구-2021-00074,2021-05-18~2021-05-28,남구청 당직실,검정 목줄,대구유기동물보호센터,대구광역시 남구청
407,완료(귀가),[개] 진도견,암컷,,흰색,2018,24.0,대구-북구-2021-00121,2021-05-18~2021-05-28,팔달초등 학교 내,"빨간목줄, 내장집 있으나 등록 안된 개체",대구유기동물보호센터,대구광역시 북구청
408,공고중,[개] 진도견,암컷,,흰,2020,9.0,경기-부천-2021-00328,2021-05-18 ~2021-05-28,원미동 89-19,"순함, 겁이많음",가나동물병원,경기도 부천시청
409,공고중,[개] 진도견,암컷,,갈흑,2018,12.0,경기-시흥-2021-00317,2021-05-18~2021-05-31,시흥시농업기술센터에서 인수,순함,한국야생동물보호협회,경기도 시흥시청
410,공고중,[개] 진도견,암컷,0.0,흰색,2021,2.5,충북-청주-2021-00469,2021-05-18~2021-05-28,가덕면 구전리 22번지,가족과 함께 입소,반려동물보호센터,충청북도 청주시청
411,공고중,[개] 진도견,특이,0.0,흰색,2018,18.0,충북-청주-2021-00470,2021-05-18 ~2021-05-28,가덕면 국전리 22번지,,반려동물보호센터,충청북도 청주시청
412,공고중,[개] 진도견,암컷,0.0,흰색,2021,2.5,충북-청주-2021-00471,2021-05-18 ~2021-05-28,가덕면 구전리 22번지,가족들과 함께 입소,반려동물보호센터,충청북도 청주시청
413,공고중,[개] 진도견,암컷,0.0,흰색,2018,17.0,충북-청주-2021-00472,2021-05-18 ~2021-05-28,가덕면 국전리 22번지,새끼 6마리와 함께 입소한 모견,반려동물보호센터,충청북도 청주시청
